    3554,  -118.0900,   -34.5400,    56.3100
    3547,   -96.3300,   -60.9500,    40.4800
    3546,   -71.1500,     1.6600,    69.8200
    3545,   -85.1400,   -14.8700,    69.8300
    3544,  -118.6500,    33.1900,    56.4900
    3543,   -85.9100,    12.4700,    70.7300
    3542,   -93.0600,    61.3900,    40.0500
    2856,   -26.3200,     1.2400,    37.4300
    2722,   -61.5500,   -43.2800,    52.8300
    2721,   -63.4900,    40.9100,    54.0100
    2719,   -45.9200,   -29.7000,    51.5400
    2718,   -48.9200,    26.5800,    53.5700
      85,   -89.2600,   -37.8700,    55.2900
      84,   -91.0800,    37.9000,    54.7300
      83,   -48.4500,    -0.8900,    53.4900
